path	umap1	umap2	cluster
t_0_0.tif	9.0940	2.7148	0
t_0_1024.tif	9.1458	2.8163	0
t_0_10240.tif	7.0799	2.3155	0
t_0_10752.tif	7.6886	1.6936	0
t_0_11264.tif	9.2920	2.9705	0
t_0_11776.tif	7.7748	2.5737	0
t_0_12288.tif	6.7228	2.6183	0
t_0_12800.tif	6.4438	3.5744	0
t_0_13312.tif	5.9408	1.1143	0
t_0_13824.tif	9.1885	2.7458	0
t_0_14336.tif	5.2912	1.1839	0
t_0_14848.tif	8.5912	2.7141	0
t_0_1536.tif	7.1276	1.1294	0
t_0_15360.tif	9.0009	2.7083	0
t_0_15872.tif	7.3444	1.5141	0
t_0_16384.tif	6.1345	3.7260	0
t_0_16896.tif	8.7490	2.9652	0
t_0_17408.tif	6.5571	1.3524	0
t_0_17920.tif	7.2823	2.4814	0
t_0_18432.tif	8.2891	2.0248	0
t_0_18944.tif	8.4609	2.4355	0
t_0_19456.tif	5.3992	2.0339	0
t_0_19968.tif	8.9647	2.7280	0
t_0_2048.tif	8.7226	2.3739	0
t_0_20480.tif	6.2569	2.9230	0
t_0_20992.tif	6.1110	2.4401	0
t_0_21504.tif	4.9152	1.4497	0
t_0_22016.tif	5.3834	1.4219	0
t_0_22528.tif	5.2588	3.5794	0
t_0_23040.tif	5.1581	3.5332	0
t_0_23552.tif	8.6764	2.7122	0
t_0_24064.tif	8.3150	2.7601	0
t_0_24576.tif	8.7614	2.8417	0
t_0_25088.tif	7.8569	2.0615	0
t_0_2560.tif	8.6859	2.4939	0
t_0_25600.tif	8.6383	3.0594	0
t_0_26112.tif	6.4066	2.2120	0
t_0_26624.tif	8.6602	2.2241	0
t_0_27136.tif	6.0025	1.3178	0
t_0_27648.tif	8.4363	2.5313	0
t_0_28160.tif	8.3006	2.3652	0
t_0_28672.tif	8.2786	2.7258	0
t_0_29184.tif	8.2512	2.7623	0
t_0_29696.tif	6.5693	2.0278	0
t_0_30208.tif	7.4210	2.1558	0
t_0_3072.tif	8.4695	2.7091	0
t_0_30720.tif	6.5696	2.1944	0
t_0_31232.tif	5.2650	3.2783	0
t_0_31744.tif	8.5103	2.5256	0
t_0_32256.tif	6.3180	2.5899	0
t_0_32768.tif	7.3846	2.3430	0
t_0_33280.tif	7.9282	2.5255	0
t_0_33792.tif	8.4167	2.7320	0
t_0_34304.tif	8.2950	2.4806	0
t_0_3584.tif	8.5294	2.8241	0
t_0_4096.tif	6.1604	2.1847	0
t_0_4608.tif	7.9737	2.3807	0
t_0_512.tif	8.0772	1.9232	0
t_0_5120.tif	8.0918	2.1260	0
t_0_5632.tif	8.0359	2.3516	0
t_0_6144.tif	8.4540	2.7405	0
t_0_6656.tif	7.8984	2.4765	0
t_0_7168.tif	8.2368	2.8016	0
t_0_7680.tif	8.0668	2.3035	0
t_0_8192.tif	8.1076	2.4961	0
t_0_8704.tif	6.7440	1.3706	0
t_0_9216.tif	7.0909	2.0108	0
t_0_9728.tif	8.0441	2.6522	0
t_10240_0.tif	7.7931	2.2375	0
t_10240_1024.tif	7.9895	2.3795	0
t_10240_10240.tif	6.0796	2.3586	0
